Date,Close,High,Low,Open,Volume,company_name
2025-06-02,200.90298461914062,201.3312933884623,199.3292261245183,199.4885975362889,35423300,APPLE
2025-06-03,202.46678161621094,202.96480586317466,200.16591202699755,200.55437033168948,46381600,APPLE
2025-06-04,202.01853942871094,205.42502305946414,201.30138338029005,202.10818013514051,43604000,APPLE
2025-06-05,199.8372039794922,203.94091870107042,199.35908978394463,202.69585814733983,55126100,APPLE
2025-06-06,203.11419677734375,204.8871617909174,201.2515910514923,202.19783403313102,46607700,APPLE
2025-06-09,200.65396118164062,205.18598475848052,199.22961916524454,203.58234611432158,72862600,APPLE
2025-06-10,201.869140625,203.54250994980842,199.77744796710627,199.8073282051838,54672600,APPLE
2025-06-11,197.9945068359375,203.69190510411792,197.62597377823997,202.69585666840098,60989900,APPLE
2025-06-12,198.41285705566406,198.890956077424,196.58013147350607,198.29333609984755,43904600,APPLE
2025-06-13,195.67372131347656,199.57822954037988,194.92668495173118,198.94075911963023,51447300,APPLE
2025-06-16,197.6359405517578,197.90487790098294,195.78328974313985,196.52037110088898,43020700,APPLE
2025-06-17,194.86691284179688,197.60604600468164,194.43861931524052,196.42074594971083,38856200,APPLE
2025-06-18,195.80320739746094,196.7893008408277,194.2991796996429,195.16573699325735,45394700,APPLE
2025-06-20,200.20574951171875,200.90298042554332,196.08210930882012,197.45666110928434,96813500,APPLE
2025-06-23,200.70376586914062,201.50060768152076,198.17380945321412,200.83325703321927,55814300,APPLE
2025-06-24,199.50851440429688,202.63610603642124,199.4089034764897,201.78945874554142,54064000,APPLE
2025-06-25,200.76351928710938,202.8651820841085,199.82723133036671,200.65395335177794,39525700,APPLE
2025-06-26,200.20574951171875,201.8392684520338,198.67184150130464,200.63404307360597,50799100,APPLE
2025-06-27,200.2854461669922,202.41698947637084,199.20971189891864,201.09224306842364,73188600,APPLE
2025-06-30,204.35926818847656,206.570497066428,198.47261792694385,201.21175129212304,91912800,APPLE
2025-07-01,206.99879455566406,209.35942450018746,205.3254252695324,205.85332972802502,78788900,APPLE
2025-07-02,211.6005401611328,212.49697770796604,207.31752868499885,208.08449026524102,67941800,APPLE
2025-07-03,212.70614624023438,213.8017903991559,210.97301649264048,211.31166931275297,34955800,APPLE
2025-07-07,209.120361328125,215.37554414763466,207.97491173225177,211.8395692407974,50229000,APPLE
2025-07-08,209.18014526367188,210.59453234535175,207.62631199643187,209.26980118177752,42848900,APPLE
2025-07-09,210.30567932128906,210.49493096772343,206.40117103180637,208.7020406311003,48749400,APPLE
2025-07-10,211.57066345214844,212.63642743345136,209.2000631819418,209.67816220166208,44443600,APPLE
2025-07-11,210.32559204101562,211.29176024279,209.03072603053,209.73792710960444,39765800,APPLE
2025-07-14,207.79562377929688,210.07658325197187,206.71988962428105,209.10044482334126,38840100,APPLE
2025-07-15,208.28370666503906,211.05272033528996,208.09445501444372,208.39327261019983,42296300,APPLE
2025-07-16,209.3295440673828,211.5606828488181,207.8155461810567,209.4689902412225,47490500,APPLE
2025-07-17,209.19009399414062,210.96305897069354,208.761785269157,209.7379236663323,48068100,APPLE
2025-07-18,210.3455047607422,210.95309492429405,208.87135730762196,210.0367321724359,48974600,APPLE
2025-07-21,211.640380859375,214.92734394651046,210.79374875413163,211.26189276464606,51377400,APPLE
2025-07-22,213.5527801513672,214.1006098348481,211.39135685335447,212.29776458434165,46404100,APPLE
2025-07-23,213.3037872314453,214.29983576430007,211.5706725113145,214.15043456376964,46989300,APPLE
